Title,Genre,Lead Studio,Profitability,Worldwide Gross,Year,Titile_Year
Leap Year,Comedy,Universal,1.715263158,$32.59 ,2010,Leap Year -2010
Knocked Up,Comedy,Universal,6.636401848,$219 ,2007,Knocked Up -2007
Killers,Action,Lionsgate,1.245333333,$93.40 ,2010,Killers -2010
Just Wright,Comedy,Fox,1.797416667,$21.57 ,2010,Just Wright -2010
Jane Eyre,Romance,Universal,0,$30.15 ,2011,Jane Eyre -2011
It's Complicated,Comedy,Universal,2.642352941,$224.60 ,2009,It's Complicated -2009
I Love You Phillip Morris,Comedy,Independent,1.34,$20.10 ,2010,I Love You Phillip Morris -2010
High School Musical 3: Senior Year,Comedy,Disney,22.91313646,$252.04 ,2008,High School Musical 3: Senior Year -2008
He's Just Not That Into You,Comedy,Warner Bros.,7.1536,$178.84 ,2009,He's Just Not That Into You -2009
Good Luck Chuck,Comedy,Lionsgate,2.36768512,$59.19 ,2007,Good Luck Chuck -2007
Going the Distance,Comedy,Warner Bros.,1.3140625,$42.05 ,2010,Going the Distance -2010
Gnomeo and Juliet,Animation,Disney,5.387972222,$193.97 ,2011,Gnomeo and Juliet -2011
Gnomeo and Juliet,Animation,Disney,5.387972222,$193.97 ,2011,Gnomeo and Juliet -2011
Ghosts of Girlfriends Past,Comedy,Warner Bros.,2.0444,$102.22 ,2009,Ghosts of Girlfriends Past -2009
Four Christmases,Comedy,Warner Bros.,2.022925,$161.83 ,2008,Four Christmases -2008
Fireproof,Drama,Independent,66.934,$33.47 ,2008,Fireproof -2008
Enchanted,Comedy,Disney,4.005737082,$340.49 ,2007,Enchanted -2007
Dear John,Drama,Sony,4.5988,$114.97 ,2010,Dear John -2010
Beginners,Comedy,Independent,4.471875,$14.31 ,2011,Beginners -2011
Across the Universe,romance,Independent,0.652603178,$29.37 ,2007,Across the Universe -2007
A Serious Man,Drama,Universal,4.382857143,$30.68 ,2009,A Serious Man -2009
A Dangerous Method,Drama,Independent,0.44864475,$8.97 ,2011,A Dangerous Method -2011
27 Dresses,Comedy,Fox,5.3436218,$160.31 ,2008,27 Dresses -2008
(500) Days of Summer,comedy,Fox,8.096,$60.72 ,2009,(500) Days of Summer -2009
